Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Type
Toyota,Platinum Etios,734700,1364,4.0,"Front, Transverse",45.0,Diesel,Sedan,Manual
Toyota,Platinum Etios,828600,1364,4.0,"Front, Transverse",45.0,Diesel,Sedan,Manual
Toyota,Platinum Etios,888400,1364,4.0,"Front, Transverse",45.0,Diesel,Sedan,Manual
Toyota,Platinum Etios,778400,1496,4.0,"Front, Longitudinal",45.0,Petrol,Sedan,Manual
Toyota,Platinum Etios,689600,1496,4.0,"Front, Transverse",45.0,Petrol,Sedan,Manual
Toyota,Platinum Etios,799600,1364,4.0,"Front, Transverse",45.0,Diesel,Sedan,Manual
Toyota,Platinum Etios,913400,1364,4.0,"Front, Transverse",45.0,Diesel,Sedan,Manual
Toyota,Platinum Etios,803400,1496,4.0,"Front, Longitudinal",45.0,Petrol,Sedan,Manual
Toyota,Etios Cross,802000,1496,4.0,"Front, Transverse",45.0,Petrol,Hatchback,Manual
Toyota,Etios Cross,650000,1197,4.0,"Front, Transverse",45.0,Petrol,Hatchback,Manual
Toyota,Etios Cross,797500,1364,4.0,"Front, Transverse",45.0,Diesel,Hatchback,Manual
Toyota,Etios Cross,766000,1364,4.0,"Front, Transverse",45.0,Diesel,Hatchback,Manual
Toyota,Etios Cross,668500,1197,4.0,"Front, Transverse",45.0,Petrol,Hatchback,Manual
Toyota,Etios Cross,816000,1364,4.0,"Front, Transverse",45.0,Diesel,Hatchback,Manual
Mahindra,Verito Vibe,657628,1461,4.0,"Front, Transverse",50.0,Diesel,Hatchback,Manual
Mahindra,Verito Vibe,685729,1461,4.0,"Front, Transverse",50.0,Diesel,Hatchback,Manual
Mahindra,Verito Vibe,750428,1461,4.0,"Front, Transverse",50.0,Diesel,Hatchback,Manual
Fiat,Urban Cross,677618,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Fiat,Urban Cross,739074,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Fiat,Urban Cross,977516,1368,4.0,"Front, Transverse",45.0,Petrol,Crossover,Manual
Fiat,Urban Cross,810211,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Toyota,Glanza,721900,1197,4.0,"Front, Longitudinal",37.0,Petrol,Hatchback,Manual
Toyota,Glanza,758200,1197,4.0,"Front, Longitudinal",37.0,Petrol,Hatchback,Manual
Toyota,Glanza,829900,1197,4.0,"Front, Longitudinal",37.0,Petrol,Hatchback,CVT
Toyota,Glanza,890200,1197,4.0,"Front, Longitudinal",37.0,Petrol,Hatchback,CVT
Toyota,Glanza,697900,1197,4.0,"Front, Longitudinal",37.0,Petrol,Hatchback,Manual
Fiat,Avventura,796132,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Fiat,Avventura,711801,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Fiat,Avventura,876341,1248,4.0,"Front, Transverse",45.0,Diesel,Crossover,Manual
Honda,Jazz,745000,1199,4.0,"Front, Transverse",40.0,Petrol,Hatchback,Manual
Honda,Jazz,909000,1199,4.0,"Front, Transverse",40.0,Petrol,Hatchback,Automatic
Honda,Jazz,789000,1199,4.0,"Front, Transverse",40.0,Petrol,Hatchback,Manual
Honda,Jazz,865000,1199,4.0,"Front, Transverse",40.0,Petrol,Hatchback,Automatic
Honda,Jazz,816500,1498,4.0,"Front, Transverse",40.0,Diesel,Hatchback,Manual
Honda,Jazz,896500,1498,4.0,"Front, Transverse",40.0,Diesel,Hatchback,Manual
Honda,Jazz,940500,1498,4.0,"Front, Transverse",40.0,Diesel,Hatchback,Manual
Honda,Jazz,928000,1199,4.0,"Front, Transverse",40.0,Petrol,Hatchback,Automatic
Jeep,Compass Trailhawk,2680000,1956,4.0,"Front, Longitudinal",60.0,Diesel,SUV,Automatic
